orbital_period,transit_duration,planet_radius,star_temp,star_radius,label
9.48803557,2.9575,2.26,5455.0,0.927,1
54.4183827,4.507,2.83,5455.0,0.927,1
19.89913995,1.7822,14.6,5853.0,0.868,-1
1.736952453,2.40641,33.46,5805.0,0.791,-1
2.525591777,1.6545,2.75,6031.0,1.046,1
11.09432054,4.5945,3.9,6046.0,0.972,1
4.13443512,3.1402,2.77,6046.0,0.972,1
2.56658897,2.429,1.59,6046.0,0.972,1
7.36178958,5.022,39.21,6227.0,1.958,-1
16.06864674,3.5347,5.76,5031.0,0.848,1
2.470613377,1.74319,13.04,5820.0,0.964,1
2.204735417,3.88864,16.1,6440.0,1.952,1
3.522498429,3.19843,14.59,6225.0,1.451,1
3.709214104,2.6302,1.16,5833.0,1.022,1
11.521446064,3.6399,150.51,5795.0,0.848,-1
19.40393776,12.2155,7.18,5043.0,0.68,-1
19.221388942,4.79843,49.29,6117.0,0.947,-1
16.46983774,9.4378,7.94,5152.0,0.786,-1
9.27358173,3.2875,2.47,4856.0,0.696,1
6.02930329,1.5821,2.85,4537.0,0.672,1
2.696370652,3.6129,1.58,4989.0,0.819,-1
5.349553819,3.0278,2.55,5185.0,0.91,1
3.94105221,2.5984,1.7,5185.0,0.91,1
8.10904807,3.596,1.3,5185.0,0.91,1
386.6030528,6.8057,41.5,5543.0,1.58,-1
21.67699193,3.4555,2.95,4954.0,0.828,1
4.99677968,2.1717,2.78,5339.0,0.847,1
4.280963604,2.875,2.3,5644.0,0.831,1
1.50635409,1.5155,4.53,5714.0,0.831,-1
670.645531,53.412,14.14,5520.0,0.983,-1
61.2563628,7.633,39.87,6144.0,1.091,-1
38.3775486,5.588,2.82,5481.0,1.036,1
41.19725502,4.6297,3.86,5031.0,0.848,1
6.252962249,2.5819,2.65,5031.0,0.848,1
16.01308419,3.2554,3.1,5015.0,0.826,1
32.62876672,4.7971,3.36,5586.0,0.798,1
91.7732862,6.473,2.12,5586.0,0.798,1
4.959319244,2.22739,12.21,5712.0,1.082,0
